Generated by http://statistics.gov.scot,2024-03-03T15:29:57+00:00
http://statistics.gov.scot/data/residential-properties-sales-and-price,House Prices - Residential Properties Sales and Price
measure type,Median
Sales,Price - Median
Measure (cell values): ,Median(Pounds (GBP))

,,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2005,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2007,http://reference.data.gov.uk/id/year/2008,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2010,http://reference.data.gov.uk/id/year/2011,http://reference.data.gov.uk/id/year/2012,http://reference.data.gov.uk/id/year/2013,http://reference.data.gov.uk/id/year/2014,http://reference.data.gov.uk/id/year/2015,http://reference.data.gov.uk/id/year/2016,http://reference.data.gov.uk/id/year/2017,http://reference.data.gov.uk/id/year/2018,http://reference.data.gov.uk/id/year/2019,http://reference.data.gov.uk/id/year/2020,http://reference.data.gov.uk/id/year/2021,http://reference.data.gov.uk/id/year/2022
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,85000,99874.995,120000,132995,125000,126000,125000,125000,120000,125000,124999.5,132000,130000,131000,135000,130000,147891,155000,161500
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,78000,89000,103000,112500,116000,106000,111000,110000,107125,104995,107525,115000,115000,123500,130500,135000,140000,147997.5,156997
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,105000,115000,124972.5,140000,150157,145000,142500,150000,150000,140000,149000,148000,150638,157000,162000,169950,190000,187500,197100
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,65000,78000,84997.5,91000,97995,87000,91000,92500,93000,90000,93000,99000,89500,90625,98000,102555,106065,106050,115000
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,88950,95000,108000,123000,124000,120000,120000,117500,120000,121000,125000,138000,135000,133995,144995,155000,165180,180000,188000
http://statistics.gov.scot/id/statistical-geography/S16000074,Aberdeen Central,72000,85000,107000,136000,140000,142500,140000,150000,145450,157433.5,168475,166250,158250,152000,145600,135000,125000,126250,118500
http://statistics.gov.scot/id/statistical-geography/S16000075,Aberdeen Donside,75000,85000,105000,135000,141000,141500,145000,153750,155000,165000,176500,186000,176430,165000,162750,160000,160000,168500,163000
http://statistics.gov.scot/id/statistical-geography/S16000076,Aberdeen South and North Kincardine,87126,105000,130000,170000,175000,175000,185000,200000,201400,220000,230000,232995,205000,215000,207000,210000,207000,215000,219972.5
http://statistics.gov.scot/id/statistical-geography/S16000077,Aberdeenshire East,101000,121950,137200,180000,187837.5,175000,189000,183000,180000,195000,205000,220000,200000,195100,200000,195000,200000,207000,210000
http://statistics.gov.scot/id/statistical-geography/S16000078,Aberdeenshire West,135000,152997.5,179995,225000,225000,209995,215997.5,240000,230000,242000,258000,265000,232266,237500,235000,222750,227495,245000,247600
http://statistics.gov.scot/id/statistical-geography/S16000079,Airdrie and Shotts,58500,69500,82000,87000,96000,98500,95000,87250,87250,87000,89497.5,86000,87995,91750,95000,101500,110000,110000,125000
http://statistics.gov.scot/id/statistical-geography/S16000080,Almond Valley,90950,93725,102000,120000,121375,120000,116975,116500,115750,115000,123500,130000,130000,130000,142000,158555,173000,195670,199995
http://statistics.gov.scot/id/statistical-geography/S16000081,Angus North and Mearns,70000,87111,95000,125000,135475,136549.5,147500,145400,152000,152856,168000,160000,150000,146000,150000,156500,165000,175000,185000
